channelNo,date,sum_productZzimCount_diff,sum_rank_diff,sum_adRank_diff,mean_averageReviewScore_diff,sum_totalReviewCount_diff,saleSum
store_1,2022-01-19,128,354,0,4.04,410,113400
store_1,2022-01-26,144,363,0,4.039473684210527,439,35700
store_1,2022-02-02,144,1249,0,4.033684210526316,441,92400
store_1,2022-02-09,176,1501,0,4.0840000000000005,460,465400
store_1,2022-02-16,197,1296,0,4.087000000000001,490,332000
store_1,2022-02-23,196,1359,0,4.086,518,96300
store_1,2022-03-02,195,379,0,4.0875,524,41400
store_1,2022-03-09,193,512,0,4.0895,529,70600
store_1,2022-03-16,194,655,0,4.0760000000000005,507,56700
store_1,2022-03-23,192,503,0,4.0755,509,76300
store_1,2022-03-30,190,1520,0,4.075000000000001,514,49500
store_1,2022-04-08,186,939,0,4.527222222222223,521,0
store_1,2022-04-09,186,971,0,4.527777777777779,522,38500
store_1,2022-04-06,188,819,0,4.0745000000000005,521,0
store_1,2022-04-07,188,939,0,4.0745000000000005,521,0
store_1,2022-04-10,186,2021,0,4.527777777777779,522,38500
store_1,2022-04-12,185,2210,0,4.528333333333334,523,41300
store_1,2022-04-13,186,1544,0,4.528333333333334,523,41300
store_1,2022-04-11,186,1984,0,4.527777777777779,522,79800
store_1,2022-04-17,186,656,0,4.52888888888889,526,74200
store_1,2022-04-16,186,971,0,4.528333333333333,525,84000
store_1,2022-04-15,186,1206,0,4.527777777777779,524,38500
store_1,2022-04-14,187,1559,0,4.528333333333334,523,9800
store_1,2022-04-24,189,1687,0,4.527777777777779,532,101400
store_1,2022-04-22,188,1435,0,4.528333333333333,529,122800
store_1,2022-04-23,189,1469,0,4.528888888888889,530,137700
store_1,2022-04-21,188,1624,0,4.528333333333333,529,101400
store_1,2022-04-20,187,576,0,4.52888888888889,528,8400
store_1,2022-04-19,187,568,0,4.52888888888889,528,0
store_1,2022-04-18,186,707,0,4.52888888888889,527,45500
store_1,2022-04-28,185,595,0,4.526666666666667,536,55300
